-4.31,0.92,0.00,1.00
-4.26,0.82,0.00,1.00
-4.20,0.73,0.00,1.00
-4.14,0.64,0.00,1.00
-4.08,0.55,0.00,1.00
-4.02,0.45,0.00,1.00
-3.96,0.36,0.00,1.00
-3.89,0.28,0.00,1.00
-3.83,0.19,0.00,1.00
-3.76,0.09,0.00,1.00
-3.70,0.00,0.00,1.00
-3.64,-0.09,0.00,1.00
-3.58,-0.18,0.00,1.00
-3.52,-0.27,0.00,1.00
-3.46,-0.36,0.00,1.00
-3.40,-0.45,0.00,1.00
-3.33,-0.53,0.00,1.00
-3.27,-0.61,0.00,1.00
-3.20,-0.69,0.00,1.00
-3.13,-0.77,0.00,1.00
-3.07,-0.85,0.00,1.00
-3.00,-0.92,0.00,1.00
-2.92,-1.00,0.00,1.00
-2.84,-1.07,0.00,1.00
-2.76,-1.13,0.00,1.00
-2.67,-1.18,0.00,1.00
-2.58,-1.22,0.00,1.00
-2.48,-1.24,0.00,1.00
-2.38,-1.25,0.00,1.00
-2.28,-1.24,0.00,1.00
-2.17,-1.21,0.00,1.00
-2.06,-1.17,0.00,1.00
-1.95,-1.12,0.00,1.00
-1.85,-1.08,0.00,1.00
-1.74,-1.04,0.00,1.00
